Station,Place,Local authority,Managed by,Station code,Travelcard Zone,Principal lines,Latitude,Longitude,DurationTerm,Terminus
South Kenton,Kenton,Brent,London Underground,SOK,4,Watford DC,51.5703 ,-0.3086,,
South Merton,Merton,Merton,First Capital Connect,SMO,4,Thameslink,51.403 ,-0.2062,,
South Ruislip,Ruislip,Hillingdon,Chiltern,SRU,5,Chiltern Main,51.5569 ,-0.3988,,
South Tottenham,Seven Sisters,Haringey,London Overground,STO,3,Gospel Oak to Barking,51.5802 ,-0.072,,
Southall,Southall,Ealing,First Great Western,STL,4,Great Western M,51.506 ,-0.3783,,
Southbury,Southbury,Enfield,National Express East Anglia,SBU,5,Lea Valley,51.6488 ,-0.0524,,
St James Street,Walthamstow,Waltham Forest,National Express East Anglia,SJS,3,Chingford Branch,51.581 ,-0.0323,,
St Johns,Lewisham,Lewisham,Southeastern,SAJ,2,Hayes,51.4691 ,-0.0225,,
St Margarets,St. Margarets,Richmond,South West Trains,SMG,4,Waterloo to Reading,51.455 ,-0.3204,30,Waterloo
St Mary Cray,St Mary Cray,Bromley,Southeastern,SMY,6,Chatham Main,51.3947 ,0.1058,,
St. Helier,Merton,Merton,First Capital Connect,SIH,4,Thameslink,51.3901 ,-0.1985,,
